Price,Close,High,Low,Open,Volume,MA21,MA50
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA,,
Date,,,,,,,
2020-08-17,12936.1103515625,12954.919921875,12917.7197265625,12942.3095703125,3460330000,12664.628580729166,12318.267578125
2020-08-18,12910.330078125,12975.5400390625,12877.1904296875,12967.9404296875,3669550000,12689.26427641369,12319.7421875
2020-08-19,12859.8798828125,12946.8095703125,12843.2802734375,12931.080078125,3679480000,12705.988095238095,12324.54939453125
2020-08-20,12812.8603515625,12832.330078125,12739.0,12751.2900390625,3431040000,12717.597144717261,12331.82220703125
2020-08-21,12809.0703125,12814.1103515625,12762.9404296875,12782.0595703125,3505010000,12731.797154017857,12354.82021484375
2020-08-24,12972.8798828125,12973.400390625,12881.400390625,12904.9501953125,3743410000,12756.135230654761,12376.9344140625
2020-08-25,13001.990234375,13029.900390625,12943.150390625,13029.900390625,3627650000,12777.509533110118,12398.116015625
2020-08-26,13042.5400390625,13057.8603515625,12975.9599609375,13006.1796875,3780530000,12803.762881324405,12415.737421875
2020-08-27,13068.8095703125,13111.4501953125,13012.9697265625,13066.150390625,3955890000,12822.771902901786,12435.38380859375
2020-08-28,13170.9599609375,13173.9697265625,13066.7197265625,13115.3701171875,3868510000,12853.137602306548,12457.3512109375
2020-08-31,13045.599609375,13136.5498046875,13043.6298828125,13134.3896484375,4348280000,12880.78283110119,12478.66080078125
2020-09-01,13113.740234375,13113.9296875,13004.169921875,13032.0400390625,4101490000,12908.25571986607,12500.35740234375
2020-09-02,13276.740234375,13299.73046875,13112.8203125,13132.7099609375,4295640000,12939.904761904761,12524.33740234375
2020-09-03,12966.1396484375,13285.08984375,12887.599609375,13253.7998046875,4911830000,12951.075706845239,12549.12939453125
2020-09-04,12966.1396484375,13069.9697265625,12723.7900390625,13022.4697265625,4438720000,12962.35997953869,12571.14998046875
2020-09-08,12688.0703125,12816.0,12659.16015625,12777.5498046875,4694330000,12958.656668526786,12592.82279296875
2020-09-09,12885.7998046875,12969.4599609375,12803.740234375,12806.240234375,3932520000,12960.646205357143,12614.9971875
2020-09-10,12706.6904296875,12964.2001953125,12688.3203125,12924.5,4208630000,12953.849097842261,12631.255390625
2020-09-11,12773.0400390625,12827.8603515625,12683.33984375,12779.98046875,3710090000,12944.240048363095,12648.6851953125
